location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Kabul,National,Education,Full Time,Any,3-5 years,BA,Position Title: Literacy and Numeracy Teacher,At least 3-5 years of experience working on education field and trainings and awareness session and workshops.
Kabul,National,Business,Full Time,Any,2 years,BA,Position Title: Supply Chain and Operations Assistant,
Kabul,National,Business,Full Time,Any,2-3 years,BA,Position Title: HR Assistant,
Ghazni,National,Security,Full Time,Male,None,HS,Position Title: Security Guard (Only Ghazni Residents),
Kunduz,National,Business,Full Time,Any,3 years,BA,Position Title: HR/Admin Officer,
Kabul,National,Communication,Full Time,Any,7 years,BA,Position Title: Reporting And Communication Manager,
Badghis,National,Program/Project,Full Time,Any,5years,HS,Position Title: Quick Response Team Leader (Survey/EOD & RE Team Leader (168847),Minimum five years of De-mining (Mine/ERW clearance experience).
Kabul,National,Other,Full Time,Any,4 years,BA,Position Title: Safeguarding Officer,
Kabul,National,Other,Full Time,Any,8 years,BA,Position Title: Project Proposal Writer,
Nimruz,National,Legal,Full Time,Any,3 years,BA,Position Title: ICLA Team Leader Afghanistan Nimroz,At least 3 years experience in the relevant context and ensuring compliance with internal policies and procedures
Jawzjan,National,Program/Project,Full Time,Male,2 years,BA,Position Title: Bakery Supervisor,
Kunar,National,Program/Project,Full Time,Any,2 years,HS,"Position Title: Risk Education Facilitator ""Couple""(Kunar)",2 years experience in EORE (Explosive Ordnance Risk Education)
Nangarhar,National,Program/Project,Full Time,Any,5years,BA,Position Title: District Communication Officer (DCO) - Surkhrod & Khogyani,
Khost,National,Health Care,Full Time,Any,3 years,MD,Position Title: Medical Doctor,Detail-oriented and self-motivated.
Herat,National,Education,Full Time,Male,2 years,BA,Position Title: Exam Invigilator,"Possess qualities of humility, maturity, respectfulness, honesty, and integrity."
Herat,National,Program/Project,Full Time,Female,3 years,BA,Position Title: Project Manager,"Experience in Village Savings and Loans Association (VSLA), Livelihoods, Micro and medium women businesses, gender, and nutrition."
Ghowr,National,Program/Project,Full Time,Male,2  years,BA,Position Title: Community Outreach Focal Point,
Kabul,National,Other,Full Time,Male,1 year,BA,Position Title: Geometrical Design Teacher Assistant (Re Announced),
Kabul,National,Communication,Full Time,Any,4 years,BA,Position Title: Reporting and Communications Manager,4 years of relevant working experience with a Masters or its equivalent degree.
