,Location,Nationality,Job_Category,Employment_Type,Gender,Years_Of_Experience,Minimum_Education,Job_Title
1342,Kabul City,National,Others,Full Time,Any,1.0,BA,Position Title: Assistant Information Management Officer
1343,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Reporting officer
1344,East Zone,National,Business,Full Time,Any,5.5,BA,Position Title: Awareness Raising Facilitator
1345,East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Gender Officer
1346,East Zone,National,Business,Full Time,Any,5.5,BA,Position Title: Master Trainer
1347,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Legal Officer
1348,East Zone,National,Business,Full Time,Any,5.5,BA,Position Title: Information Media Officer
1349,East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Monitoring and Evaluation Officer
1350,Kabul City,National,Health,Full Time,Any,3.5,BA,Position Title: EPI Supervisor
1351,Kabul City,National,Health,Full Time,Any,3.0,BA,Position Title: Nutrition Supervisor
1352,East Zone,National,Business,Full Time,Any,3.5,VD,Position Title: Social Worker
1353,East Zone,National,Business,Full Time,Any,5.5,BA,Position Title: Psychosocial Counselor
1354,East Zone,National,Business,Full Time,Any,8.0,BA,Position Title: Project Manager
1355,East Zone,National,Business,Full Time,Any,4.5,BA,Position Title: Data Entry Clerk
1356,East Zone,National,Business,Full Time,Any,5.5,BA,Position Title: Business Development Officer
1357,East Zone,National,Business,Full Time,Any,5.5,BA,Position Title: Case Management Officer
1358,East Zone,National,Others,Full Time,Any,5.0,HS,Position Title: Security Guard
1359,East Zone,National,Business,Full Time,Any,6.0,BA,Position Title: Finance Officer
1360,East Zone,National,Business,Full Time,Any,3.5,BA,Position Title: Administration Officer
1361,Kabul City,Any,Engineering,Full Time,Any,7.0,HS,Position Title: Video Animator (2D & 3D)
1362,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Senior Credit Officer / Regional Supervisor- Kabul
1363,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Access & Liaison Officer
1364,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Camp Management Assistant - Receptionist
1365,North-Zone,National,Others,Full Time,Any,3.0,BA,Position Title: Camp Management Officer (Cash Grant)
1366,South Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer - Kandahar
1367,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Coordination Manager
1368,Kabul City,National,IT,Full Time,Any,5.0,BA,Position Title: Senior Software Engineer - Full Stack Developer
1369,East Zone,National,Business,Full Time,Female,2.5,BA,Position Title: Protection Monitor
1370,East Zone,National,Business,Full Time,Male,2.5,BA,Position Title: Enumerator
1371,East Zone,National,Health,Full Time,Female,4.0,BA,Position Title: MD / GYNE & Ultrasound Specialist
1372,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Credit and Finance Specialist
1373,Kabul City,National,Business,Full Time,Any,1.0,,Position Title: Project Manager
1374,East Zone,National,Business,Full Time,Male,7.0,MA,Position Title: Project Coordinator
1375,North-Zone,National,Others,Full Time,Any,5.0,BA,Position Title: Protection Team Leader
1376,North-Zone,National,Others,Full Time,Any,5.0,BA,Position Title: Protection Officer
1377,North-Zone,National,Others,Full Time,Any,3.0,BA,Position Title: Protection Assistant
1378,North-East Zone,National,Business,Full Time,Any,3.0,BA,"Position Title: Sr. MEAL (Monitoring, Evaluation, Accountability & Learning) Officer"
1379,North-Zone,National,Others,Full Time,Male,2.0,HS,Position Title: Community Health Supervisor - CHS
1380,Kabul City,National,Business,Full Time,Female,4.0,BA,Position Title: MEAL Manager- Accountability and Learning (Female Only)
1381,North-East Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Supply Chain Assistant
1382,West Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Supply Chain Assistant
1383,Kabul City,National,Health,Part Time,Female,5.0,BA,Position Title: Quality Consultant - MSI Afghanistan (Re Announced)
1384,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Program Manager Health- Re announced
1385,Kabul City,National,Health,Full Time,Any,10.0,MD,Position Title: National Project Manager- Health Emergency Response (HER)
1386,West Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Entrepreneurship Development Assistant
1387,East Zone,National,Business,Full Time,Female,1.5,HS,Position Title: Vocational Skill Trainers
1388,Kabul City,National,IT,Full Time,Any,4.0,BA,Position Title: MIS Developer
1389,Kabul City,National,Education,Full Time,Female,2.0,BA,Position Title: Pashto Language and Islamic Studies Teacher
1390,West Zone,National,Health,Full Time,Female,3.0,BA,Position Title: General Internal Medicine Specialist
1391,West Zone,National,Health,Full Time,Female,3.0,BA,Position Title: (IMCI) Nurse
1392,Kabul City,National,Education,Part Time,Female,2.0,BA,Position Title: Math Teacher
1393,East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: Pharmacy Stock Keeper
1394,West Zone,National,Health,Full Time,Female,3.0,BA,Position Title: Pharmacist
1395,Kabul City,National,Business,Full Time,Male,2.0,BA,Position Title: Merchandising Assistant
1396,West Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Medical Recorder
1397,West Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Stock Keeper
1398,South Zone,National,Health,Full Time,Male,3.0,BA,Position Title: Physiotherapist (PT)
1399,West Zone,National,Engineering,Full Time,Male,2.0,BA,Position Title: Electrician
1400,Kabul City,National,Security,Full Time,Male,4.0,HS,Position Title: Security Officer
1401,South Zone,National,Business,Full Time,Any,2.5,MD,Position Title: Provincial supervisor for COVID-19 vaccination programme
1402,South Zone,National,Business,Full Time,Any,2.5,MD,Position Title: Provincial supervisor for COVID-19 vaccination programme
1403,South Zone,National,Business,Full Time,Any,2.5,MD,Position Title: Provincial supervisor for COVID-19 vaccination programme
1404,West Zone,National,Business,Full Time,Any,2.5,MD,Position Title: Provincial supervisor for COVID-19 vaccination programme
1405,Central Highlands,National,Health,Full Time,Female,2.0,BA,Position Title: Medical Doctor (Female Applicants Only)
1406,North-East Zone,National,Others,Full Time,Any,1.0,BA,Position Title: Data Collectors (couples)
1407,Central Highlands,National,Business,Full Time,Male,2.0,BA,Position Title: Senior Logistic Officer - Daikondi
1408,South Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Mental Health Supervisor (Female - Mahram Required)
1409,Kabul City,Any,Business,Full Time,Any,5.0,BA,"Position Title: Sr Program Manager, Resource Mobilization and Communications (Re Announced)"
1410,Kabul City,National,Business,Full Time,Male,5.0,BA,Position Title: Chief Finance Officer (CFO)
1411,Kabul City,Any,Business,Full Time,Any,4.0,BA,Position Title: HR Coordinator
1412,Kabul City,National,Engineering,Full Time,Male,5.0,BA,Position Title: Lab Manager
1413,East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer - Jalalabad
1414,North-East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer - Kunduz
1415,North-East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer - Kunduz
1416,North-Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer - Mazar
1417,Kabul City,National,Health,Full Time,Female,2.0,MD,Position Title: MIYCN Master Trainer
1418,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Agronomist
1419,West Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer - Herat
1420,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer - Kabul
1421,West Zone,National,Business,Full Time,Any,8.5,BA,Position Title: MEAL & Reporting Manager
1422,South Zone,Any,Business,Full Time,Any,1.0,,Position Title: FIELD COORDINATOR - HELMAND
1423,Kabul City,Any,Business,Full Time,Any,1.0,,Position Title: A DEPUTY COUNTRY DIRECTOR - SUPPORT
1424,Kabul City,Any,Business,Full Time,Any,1.0,,Position Title: HUMANITARIAN POLICY AND ADVOCACY EXPERT
1425,Kabul City,National,Business,Full Time,Female,1.0,BA,Position Title: Hotline Receptionist
1426,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Community Outreach Focal Point
1427,South Zone,National,Others,Full Time,Female,2.5,BA,Position Title: Midwife
1428,West Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Community Outreach Focal Point
1429,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Field Protection Monitor
1430,South Zone,National,Others,Full Time,Male,2.5,BA,Position Title: Lab Technician
1431,West Zone,National,Education,Full Time,Any,2.5,BA,Position Title: Education Technical Assistant Afghanistan Nimroz (Only Afghan National)
1432,South Zone,National,Others,Full Time,Female,2.0,BA,Position Title: Vaccinator
1433,Kabul Zone,National,Health,Full Time,Female,1.5,SS,Position Title: Nutrition Counselor
1434,West Zone,National,Health,Full Time,Female,1.5,SS,Position Title: Nutrition Counselor
1435,North-East Zone,National,Business,Full Time,Any,1.0,BA,Position Title: HR Intern (Local Recruitment)
1436,North-East Zone,National,Business,Full Time,Any,1.0,BA,Position Title: Finance Intern (Local Recruitment)
1437,West Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Human Resource/HR manager
1438,West Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Logistics Officer
1439,West Zone,National,Health,Full Time,Male,2.0,BA,Position Title: Medical Nurse - Night shift
1440,West Zone,National,Others,Full Time,Any,3.0,BA,Position Title: Protection & Safeguarding Officer
1441,West Zone,National,Education,Part Time,Any,3.5,BA,Position Title: Provincial Manager
1442,West Zone,National,Education,Full Time,Any,3.5,BA,Position Title: Education Team Leader Afghanistan Nimroz (Only Afghan National)
1443,Kabul City,National,Others,Full Time,Any,4.5,BA,Position Title: Learning and Social Development Programme Coordinator
1444,West Zone,National,Health,Full Time,Female,0.0,BA,Position Title: Psychosocial Counselor
1445,West Zone,National,Others,Full Time,Male,1.0,HS,Position Title: Sale Agent -Direct Sale
1446,West Zone,National,Security,Full Time,Any,5.0,BA,Position Title: Security Coordinator Afghanistan Herat (Only Afghan National)
1447,South Zone,National,Health,Full Time,Female,0.0,BA,Position Title: Health Assistant for Health and Nutrition static facility (Female)
1448,Kabul City,National,Engineering,Full Time,Male,2.0,BA,Position Title: Photographer
1449,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Admin and Finance Assistant
1450,Central Highlands,National,Business,Full Time,Any,1.5,BA,Position Title: Surveyor/Distributor (BMN)
1451,Kabul City,National,Business,Full Time,Male,4.0,BA,Position Title: General Manager of Procurement 
1452,Kabul Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Lab Technician
1453,Kabul Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Lab Assistant
1454,Kabul Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Sample Preparing Technician
1455,Kabul City,National,Business,Full Time,Any,1.5,BA,Position Title: Logistics Assistant
1456,West Zone,National,Business,Full Time,Any,2.0,HS,Position Title: HDP-EOD/NTS Operator
1457,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Reporting Officer
1458,West Zone,National,Engineering,Full Time,Male,10.0,BA,Position Title: Quantity Surveyor
1459,Kabul City,National,Health,Full Time,Female,3.5,MD,Position Title: RH Officer (Re Announced) (Re Announced)
1460,Kabul City,National,Health,Full Time,Female,3.5,MD,Position Title: RH Supervisor (Re Announced)
1461,West Zone,National,Health,Full Time,Any,2.0,BA,"Position Title: WinS and HF facilitators ( couple ""Mahram"")"
1462,West Zone,National,Health,Full Time,Any,3.0,BA,Position Title: WinS and HF Supervisor
1463,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Admin/Finance Officer
1464,East Zone,National,Business,Full Time,Any,1.5,BA,Position Title: Admin/Finance Officer
1465,Kabul City,National,Others,Full Time,Any,2.0,BA,Position Title: Senior. Safeguarding Officer
1466,Kabul City,National,Health,Full Time,Any,3.0,MD,Position Title: General Surgeon PD12
1467,Kabul City,National,Business,Full Time,Male,3.5,BA,Position Title: Field Manager
1468,Kabul City,National,Others,Full Time,Any,3.0,HS,Position Title: Buyer 1
1469,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: finance and logistics Manager
1470,Kabul City,National,Business,Full Time,Male,1.5,BA,Position Title: Medical Representative -Visitor 
1471,South Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Medical Doctor
1472,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: MHPSS Technical Working Group Coordinator (Re Announced)
1473,North-Zone,National,Business,Full Time,Male,5.0,BA,Position Title: Agriculture Specialist
1474,North-Zone,National,Business,Full Time,Male,5.0,BA,Position Title: Marketing Officer
1475,North-Zone,National,Business,Full Time,Any,5.0,MD,Position Title: Nutrition Specialist
1476,South Zone,National,Health,Full Time,Any,1.0,BA,Position Title: TFU Doctor
1477,South Zone,National,Health,Full Time,Any,3.0,,"Position Title: Mulitple Vacancies (Hospital Director, MD Doctor, Admin, Nurse, Finance, HMIS,Surgeon,Sonologist,Pharmacist and more)"
1478,Kabul City,National,Others,Full Time,Any,4.0,BA,Position Title: Logistics Officer
1479,Kabul City,National,Security,Full Time,Female,2.0,HS,Position Title: Guard (Female Only)
1480,Kabul City,National,Business,Full Time,Any,5.0,MA,Position Title: Program Manager - Preparedness & Response
1481,Kabul City,National,Health,Part Time,Any,5.0,BA,Position Title: Psycho-social Counsellor
1482,West Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Marketing Officer
1483,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Analyst - Billing & Credit Control
1484,West Zone,National,Business,Full Time,Any,3.0,MD,Position Title: Nutrition Specialist
1485,West Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Agriculture Specialist
1486,Kabul City,National,Business,Full Time,Any,3.5,BA,Position Title: Area Support Manager
1487,Kabul Zone,National,Business,Full Time,Female,2.5,BA,Position Title: FHH Midwife
1488,North-Zone,National,Business,Full Time,Any,1.5,BA,Position Title: Admin Assistant ( Re-announced)
1489,West Zone,National,Business,Full Time,Any,2.0,BA,"Position Title: Nutrition Officer, NOB, Fixed Term, Herat, Afghanistan, Position # 90267 (Open for Afghan Nationals Only)"
1490,North-Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Warehouse Officer
1491,South Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Teller
1492,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Head Teller
1493,South Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Customer Service Representative (CSR)
1494,Kabul City,National,IT,Full Time,Any,4.0,SS,"Position Title: ICT Assistant (Data Entry) , Multiple positions"
1495,Kabul City,International,Business,Full Time,Any,5.0,BA,Position Title: Procurement Specialist (Grants Management)
1496,East Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Reporting Officer (Subject to Donor Fund)
1497,North-Zone,National,Business,Full Time,Male,6.5,BA,Position Title: Project Coordinator
1498,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: MEAL Officer
1499,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Child Protection Officer
1500,East Zone,National,Business,Full Time,Any,3.5,BA,Position Title: Awareness Assistant
1501,Kabul City,National,Engineering,Full Time,Any,3.0,BA,Position Title: Quality Control Engineer
1502,East Zone,National,Health,Full Time,Female,2.5,HS,Position Title: House Mother
1503,East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Pharmacist
1504,Kabul City,Any,Business,Full Time,Any,5.0,BA,Position Title: Grant Manager
1505,Kabul City,National,Engineering,Full Time,Any,5.0,BA,Position Title: WASH Design Engineer
1506,South Zone,National,IT,Full Time,Male,3.0,HS,Position Title: IT Assistant (Only Male) (Re Announced)
1507,Kabul City,National,Business,Full Time,Male,0.0,BA,Position Title: Internal Audit Officer
1508,Kabul City,National,IT,Full Time,Male,1.5,HS,Position Title: IT Assistant- Only Male
1509,Kabul City,National,Others,Full Time,Any,6.0,BA,Position Title: Senior Project Associate (Protection)
1510,Kabul City,Any,IT,Full Time,Any,5.0,BA,Position Title: IT / LAN MANAGER
1511,North-Zone,National,Business,Full Time,Female,2.0,HS,Position Title: VAC-10111-Nutrition Counsellor/Nurse
1512,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Islamic Finance Officer- Kabul
1513,Kabul City,National,Business,Part Time,Any,5.0,MA,Position Title: Organization Development Consultant (ODC)
1514,Kabul City,National,Others,Full Time,Any,3.0,MA,Position Title: Project Teacher Trainer (PTT)
1515,Kabul City,National,Education,Full Time,Male,6.5,MA,Position Title: Education Specialist (Re Announced) (Re Announced)
1516,South Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Admin/Finance Officer (Re Announced) (Re Announced)
1517,North-East Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Admin/Finance Officer (Re Announced) (Re Announced)
1518,East Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Admin/Finance Officer (Re Announced) (Re Announced)
1519,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Sr. Finance Officer (Re Announced)
1520,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: HR Officer (Re Announced) (Re Announced)
1521,South Zone,National,Health,Full Time,Any,2.0,BA,"Position Title: Health Officer, NOB, Afghanistan, Multiple Locations(Afghan Nationals Only)"
1522,Kabul City,National,Health,Full Time,Any,5.0,BA,Position Title: clinical Specialist/Mentor (MNH & Nutrition)
1523,South Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Roster HR Officer (Re Announced)
1524,Kabul City,National,Business,Full Time,Any,7.0,MA,Position Title: Senior Program Officer (Re Announced)
1525,Kabul City,National,Others,Full Time,Any,5.0,MA,Position Title: Sr. Geology And Laboratory Specialist
1526,South Zone,National,Health,Full Time,Female,1.0,HS,Position Title: Hygiene Promoter(Female)
1527,North-Zone,National,Business,Full Time,Male,2.0,HS,Position Title: Help Desk Focal Point
1528,Kabul City,National,Education,Full Time,Male,4.0,BA,Position Title: Education Officer CBE (Community Based Education)
1529,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Program Officer
1530,South Zone,National,Business,Full Time,Male,1.0,BA,Position Title: teller
1531,North-Zone,National,Business,Full Time,Male,2.0,HS,Position Title: BSFP Focal Point
1532,East Zone,National,Others,Full Time,Any,3.0,BA,Position Title: Community Based Social worker (Couple)
1533,Kabul City,National,Others,Full Time,Male,1.0,BA,Position Title: AHSP-113
1534,Kabul City,National,Others,Full Time,Any,6.0,MA,Position Title: Monitoring and Evaluation Specialist
1535,North-Zone,National,Agriculture,Full Time,Any,2.0,BA,Position Title: Community Based Facilitator (Daily Labor Contract)
1536,North-Zone,National,Business,Full Time,Male,2.0,HS,Position Title: Distributor
1537,Kabul City,National,Health,Full Time,Female,2.0,BA,Position Title: Midwife
1538,North-Zone,National,Business,Full Time,Male,1.0,HS,Position Title: Crowd Controller
1539,Kabul City,National,Health,Full Time,Any,2.0,BA,Position Title: COVID-19 Screening Nurse-PD13 (Re Announced)
1540,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: M&E Officer (Re Announced)
1541,North-Zone,National,Others,Full Time,Male,2.0,HS,Position Title: Storekeeper
1542,North-Zone,National,Health,Full Time,Female,5.0,BA,Position Title: Female MD (Re Announced)
1543,East Zone,National,Health,Full Time,Any,4.0,BA,Position Title: Psycho social Counselor (Couple)
1544,East Zone,National,Business,Full Time,Male,5.0,BA,Position Title: Admin Finance Officer
1545,East Zone,National,Business,Full Time,Any,6.0,BA,Position Title: Project Manager
1546,East Zone,National,Business,Full Time,Any,3.5,BA,Position Title: M&E and database Officer
1547,East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Master Trainer
1548,East Zone,National,Education,Full Time,Any,4.0,BA,Position Title: MHPSS Counsellor (couple)
1549,East Zone,National,Education,Full Time,Any,3.5,BA,Position Title: Child protection officer (couple)
1550,East Zone,National,Business,Full Time,Any,3.5,BA,Position Title: Case Management Officer (couple)
1551,East Zone,National,Business,Full Time,Any,3.5,BA,Position Title: GBV Counselor (1 female/2 male)
1552,East Zone,National,Business,Full Time,Any,3.5,BA,Position Title: Psycho Social Counselor
1553,East Zone,National,Education,Full Time,Any,3.5,BA,Position Title: EORE Educator
1554,East Zone,National,Education,Full Time,Any,3.5,BA,Position Title: Vocational Officer
1555,West Zone,National,Business,Full Time,Any,1.0,HS,Position Title: Community Mobilizer
1556,West Zone,National,Health,Full Time,Any,2.0,BA,Position Title: Community Health Promotor
1557,East Zone,National,Business,Full Time,Any,3.5,BA,Position Title: Media Officer
1558,Kabul City,National,Education,Full Time,Female,5.0,BA,Position Title: Scientific Subjects Instructor 
1559,North-East Zone,National,Business,Full Time,Male,2.5,BA,Position Title: Admin/Accountant
1560,East Zone,National,Health,Full Time,Male,4.0,MD,Position Title: Capacity Development Officer
1561,Kabul City,National,Business,Full Time,Male,4.0,BA,Position Title: Sales & Marketing Manager
1562,East Zone,National,Health,Full Time,Any,3.0,BA,Position Title: Hygiene Trainer(Couple)
1563,North-East Zone,National,Business,Full Time,Any,3.5,BA,Position Title: MEAL Officer-AWARE Project
1564,Kabul City,National,Others,Full Time,Any,7.0,BA,Position Title: Operation Manager
1565,Kabul City,National,Business,Full Time,Any,7.0,BA,"Position Title: Monitoring, Evaluation, Accountability and learning (MEAL) Manager"
1566,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Program Manager
1567,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Finance Manager
1568,Kabul City,National,Business,Full Time,Male,8.0,BA,Position Title: Admin Finance Manager
1569,Kabul City,Any,Health,Full Time,Male,2.0,MA,Position Title: General Physician Specialist
1570,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Area Program Manager
1571,East Zone,National,Engineering,Full Time,Any,4.0,BA,Position Title: Engineers for Jalalabad
1572,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Digital Marketer (Herat Local Recruitment)
1573,Kabul City,National,Others,Full Time,Any,7.0,BA,Position Title: Event Manager
1574,East Zone,National,Others,Full Time,Female,2.0,BA,Position Title: Eterprise Officer
1575,East Zone,National,Others,Full Time,Female,1.5,BA,Position Title: Legal Officer
1576,Kabul City,National,Health,Full Time,Any,3.0,MD,Position Title: Stomatolog MD
1577,Kabul City,National,Business,Full Time,Male,2.0,BA,Position Title: Admin Finance Assistant
1578,Kabul City,National,Business,Full Time,Male,2.0,BA,Position Title: Finance officer
1579,South Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Midwife Activity Manager (Re Announced)
1580,Kabul City,National,Health,Full Time,Female,3.0,BA,Position Title: OBGYN Specialist
1581,Kabul City,National,Health,Full Time,Any,3.0,BA,Position Title: Dermatologist
1582,Kabul City,Any,Others,Part Time,Any,2.0,BA,Position Title: Marketing Manager
1583,Kabul City,National,Business,Full Time,Any,6.0,MA,Position Title: Finance and Admin Manager
1584,Kabul City,National,Engineering,Full Time,Any,5.0,BA,Position Title: Project Manager (Construction)
1585,North-East Zone,National,Security,Full Time,Male,5.0,BA,Position Title: Regional Security & Access Officer (RO  Security)
1586,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Reporting officer
1587,Kabul City,National,Health,Full Time,Any,10.0,MD,Position Title: National Project Manager Health Emergency Response (HER)
1588,Kabul City,National,Security,Full Time,Male,4.0,HS,Position Title: Security Officer
1589,North-East Zone,National,Others,Full Time,Any,1.0,BA,Position Title: Data Collectors (couples)
1590,East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer  Jalalabad
1591,North-East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer  Kunduz
1592,North-East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer  Kunduz
1593,North-Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer  Mazar
1594,West Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer  Herat
1595,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Micro Finance Officer  Kabul
1596,Kabul City,National,Others,Full Time,Any,4.5,BA,Position Title: Learning and Social Development Programme Coordinator
1597,Kabul Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Lab Technician
1598,Kabul Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Lab Assistant
1599,Kabul Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Sample Preparing Technician
1600,Kabul City,National,Business,Full Time,Male,3.5,BA,Position Title: Field Manager
1601,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: MHPSS Technical Working Group Coordinator (Re Announced)
1602,South Zone,National,Business,Full Time,Any,1.0,BA,Position Title: TFU Doctor
1603,Kabul City,National,Others,Full Time,Any,4.0,BA,Position Title: Logistics Officer
1604,Kabul City,National,Security,Full Time,Female,2.0,HS,Position Title: Guard (Female Only)
1605,Kabul City,National,Health,Part Time,Any,5.0,BA,Position Title: Psychosocial Counsellor
1606,West Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Marketing Officer
1607,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Analyst  Billing & Credit Control
1608,West Zone,National,Business,Full Time,Any,3.0,MD,Position Title: Nutrition Specialist
1609,West Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Agriculture Specialist
1610,Kabul City,National,Business,Full Time,Any,3.5,BA,Position Title: Area Support Manager
1611,West Zone,National,Business,Full Time,Any,2.0,BA,"Position Title: Nutrition Officer, NOB, Fixed Term, Herat, Afghanistan, Position # 90267 (Open for Afghan Nationals Only)"
1612,South Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Teller
1613,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Head Teller
1614,South Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Customer Service Representative (CSR)
1615,East Zone,National,Health,Full Time,Female,2.5,HS,Position Title: House Mother
1616,Kabul City,National,Business,Full Time,Male,0.0,MA,Position Title: Internal Audit Officer
1617,Kabul City,Any,IT,Full Time,Any,5.0,BA,Position Title: IT / LAN MANAGER
1618,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Islamic Finance Officer Kabul
1619,Kabul City,National,Business,Part Time,Any,5.0,MA,Position Title: Organization Development Consultant (ODC)
1620,Kabul City,National,Others,Full Time,Any,3.0,MA,Position Title: Project Teacher Trainer (PTT)
1621,Kabul City,National,Education,Full Time,Male,6.5,MA,Position Title: Education Specialist (Re Announced) (Re Announced)
1622,South Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Admin/Finance Officer (Re Announced) (Re Announced)
1623,North-East Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Admin/Finance Officer (Re Announced) (Re Announced)
1624,East Zone,National,Others,Full Time,Male,2.0,BA,Position Title: Admin/Finance Officer (Re Announced) (Re Announced)
1625,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Sr. Finance Officer (Re Announced)
1626,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: HR Officer (Re Announced) (Re Announced)
1627,South Zone,National,Health,Full Time,Any,2.0,BA,"Position Title: Health Officer, NOB, Afghanistan, Multiple Locations(Afghan Nationals Only)"
1628,Kabul City,National,Others,Full Time,Any,5.0,MA,Position Title: Sr. Geology And Laboratory Specialist
1629,Kabul City,National,Others,Full Time,Any,5.5,MA,Position Title: Monitoring and Evaluation Specialist
1630,Kabul City,National,Others,Full Time,Any,7.0,BA,Position Title: Operation Manager
1631,Kabul City,National,Business,Full Time,Any,7.0,BA,"Position Title: Monitoring, Evaluation, Accountability and learning (MEAL) Manager"
1632,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Program Manager
1633,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Finance Manager
1634,West Zone,National,Business,Full Time,Any,5.0,BA,Position Title: C&V and Livelihood Advisor
1635,Central Highlands,National,Engineering,Full Time,Male,3.0,HS,Position Title: WASH Field Foreman
1636,Central Highlands,National,Engineering,Full Time,Male,1.0,HS,Position Title: WASH Officer
