,Location,Nationality,Job_Category,Employment_Type,Gender,Years_Of_Experience,Minimum_Education,Job_Title
2213,North-Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Marketing Officer (Agribusiness)
2214,Kabul City,National,Engineering,Full Time,Any,5.0,MA,Position Title: Call for CVs Mid-Level Management Positions
2215,North-Zone,National,Education,Full Time,Any,3.0,HS,Position Title: English Trainer
2216,Kabul City,National,Education,Part Time,Male,5.0,BA,Position Title: Certified Trainers at Sama International Trainings & Consultancy
2217,Kabul City,National,Education,Full Time,Any,7.0,BA,Position Title: Script Writer - Dari (Re Announced)
2218,Kabul City,National,Education,Full Time,Any,7.0,BA,Position Title: Script Writer - Pashto (Re Announced)
2219,Kabul City,National,Engineering,Full Time,Any,4.0,BA,Position Title: Civil Engineer
2220,Kabul City,National,Others,Full Time,Male,4.0,MA,Position Title: Senior Training and Development Officer
2221,North-Zone,National,Others,Full Time,Male,5.0,,Position Title: Taxi Cars painter expert
2222,North-East Zone,National,Business,Full Time,Female,5.0,BA,Position Title: Business Development Executive
2223,North-Zone,Any,Business,Full Time,Any,10.0,MA,Position Title: Call for Resumes (Short- and Long-Term Consultants)
2224,North-East Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Volunteers (Internship and Membership)
2225,Kabul City,National,Engineering,Full Time,Any,5.0,BA,Position Title: Road Construction Project Manager
2226,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Sales and Marketing Officer
2227,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Senior Monitoring and Evaluation Specialist
2228,Kabul City,National,Agriculture,Full Time,Any,3.0,BA,Position Title: National Professional Officer (Programme)
2229,Central Highlands,National,Education,Full Time,Any,2.0,BA,"Position Title: Programme Officer, (Education and Child Protection) NOB, Fixed Term, Daikundi Afghanistan, #90274"
2230,East Zone,National,Health,Full Time,Male,2.0,BA,Position Title: MHT Medical Doctor (Only Male)
2231,Kabul City,National,Health,Full Time,Any,5.0,BA,Position Title: HIS/M&E Coordinator (Re Announced) (Re Announced) (Re Announced) (Re Announced)
2232,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Program Coordinator
2233,Central Highlands,National,Business,Full Time,Any,5.0,MA,Position Title: Technical Advisor I
2234,South Zone,National,Health,Full Time,Any,9.0,BA,Position Title: Health & Nutrition Project Manager-UZG
2235,South Zone,National,Others,Full Time,Male,10.0,BA,Position Title: Project Support Manager
2236,Kabul City,National,IT,Full Time,Male,5.0,BA,Position Title: 068-Expert Database Manager
2237,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Emergency Team Leader (Re-announced) (169068)
2238,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Deputy Finance Director
2239,Kabul City,National,IT,Full Time,Male,2.0,BA,Position Title: 069-Expert Programmer
2240,Kabul City,National,IT,Full Time,Male,1.0,BA,Position Title:Hardware and Software Management(?)
2241,Kabul City,National,IT,Full Time,Male,2.0,BA,Position Title: 070 Expert System Manager
2242,East Zone,National,Business,Full Time,Any,1.0,BA,Position Title: Protection Monitoring and Case Management Worker (PMCMW)
2243,West Zone,National,Business,Full Time,Male,0.0,BA,Position Title: Regional RHCS Monitoring and Quality Control Officer (Re Announced)
